Zone	Addresse	Nom	Nb affiches	Dernier Collage	DÇcollÇ?	Nom ItinÇraire	Pos ItinÇraire	CoordonnÇes	Officiel
Saint-Yrieix-sur-Charente	6 avenue de l'Union (sur le cìtÇ de la Mairie)			30/05/2022 12:44:28	FALSE	Officiel Saint-Yrieix-sur-Charente		45.675037288837615, 0.1275016632993788	TRUE
Saint-Yrieix-sur-Charente	6 rue de l'Ancienne Mairie (Ecole Nicolas Vanier)			30/05/2022 12:43:21	FALSE	Officiel Saint-Yrieix-sur-Charente		45.692164353962596, 0.11505262046742253	TRUE
Saint-Yrieix-sur-Charente	Carrefour de la rue des Augerauds et des Mesniers			30/05/2022 12:43:16	FALSE	Officiel Saint-Yrieix-sur-Charente		45.692304177987026, 0.13297221952861205	TRUE
Saint-Yrieix-sur-Charente	Rue Jacques Chardonne (Ö cìtÇ du transformateur)			30/05/2022 12:44:32	FALSE	Officiel Saint-Yrieix-sur-Charente		45.66722088625535, 0.14396573737557045	TRUE
Saint-Yrieix-sur-Charente	22 rue des Ecoles (PrÇau de l'Çcole C Roy B)			30/05/2022 12:44:25	FALSE	Officiel Saint-Yrieix-sur-Charente		45.66739889948253, 0.12764659337702816	TRUE
Saint-Yrieix-sur-Charente	152 rue J et C Priolaud (en face de l'entrÇe de la salle des fàtes)			30/05/2022 12:43:30	FALSE	Officiel Saint-Yrieix-sur-Charente		45.67827947627939, 0.14263736359565826	TRUE
Saint-Yrieix-sur-Charente	Angle de l'avenue de l'Union et de l'allÇe LÇo Lagrange (Gymnase des Berneries)			30/05/2022 12:44:52	FALSE	Officiel Saint-Yrieix-sur-Charente		45.6761110486578, 0.1290371247221045	TRUE
Saint-Yrieix-sur-Charente	Rue des Mesniers (Arràt de bus Æ Nautilis Ø)			30/05/2022 12:43:27	FALSE	Officiel Saint-Yrieix-sur-Charente		45.685032784895476, 0.1429131134372039	TRUE
Soyaux	Espace Henri Matisse (cìtÇ droit de l'allÇe d'accäs)			01/06/2022 21:48:14	FALSE	Officiel Soyaux		45.64226837913719, 0.196667977231184	TRUE
Soyaux	Rue De la cigogne			30/05/2022 17:44:05	FALSE	Officiel Soyaux		45.638150995301714, 0.18557363337548688	TRUE
Soyaux	Place Lucien Petit, du cìtÇ de la rue des Lilas			01/06/2022 21:52:24	FALSE	Officiel Soyaux		45.64223778606942, 0.19011957928317885	TRUE
Soyaux	Le PÇtureau, place Charlemagne			30/05/2022 17:39:29	FALSE	Officiel Soyaux		45.63734400363526, 0.1969955500950365	TRUE
Soyaux	Avenue Christophe Colomb, le long du parking du square du 8 mai 1945			01/06/2022 21:52:15	FALSE	Officiel Soyaux		45.64053398405123, 0.18619300611607814	TRUE
Soyaux	Antornac, Ö l'entrÇe du bourg			01/06/2022 21:43:54	FALSE	Officiel Soyaux		45.644156455125675, 0.20535157641880353	TRUE
Soyaux	Chemin d'Entreroches, entre la rue de la Combe et l'impasse des Glycines			01/06/2022 22:10:39	FALSE	Officiel Soyaux		45.65045795975826, 0.1942134853219135	TRUE
Soyaux	Boulevard LÇon Blum, entre Gulliver et Mille et une facettes			01/06/2022 22:06:25	FALSE	Officiel Soyaux		45.64832988156387, 0.18422635524418574	TRUE
Soyaux	Rue Maurice Ravel, Ö l'angle de la rue Maurice Ravel et rue MarÇchal Fayolle			30/05/2022 21:20:54	FALSE	Officiel Soyaux		45.645254, 0.181197	TRUE
Soyaux	Square des Marronniers, au croisement de l'allÇe des Marronniers et de la rue du Bourg			01/06/2022 21:47:56	FALSE	Officiel Soyaux		45.641920254707614, 0.20063034370347688	TRUE
Soyaux	La croix blanche, carrefour route du Peux et chemin de Bressour			01/06/2022 21:33:41	FALSE	Officiel Soyaux		45.636406988192995, 0.20621164934244118	TRUE
Voeuil-Et-Giget	Bourg de Vouil			30/05/2022 16:54:56	FALSE	Officiel Voeuil-Et-Giget		45.585438, 0.154409	TRUE
Voeuil-Et-Giget	Bourg de Giget			30/05/2022 16:40:28	FALSE	Officiel Voeuil-Et-Giget		45.604176, 0.153361	TRUE
Voeuil-Et-Giget	AllÇe des Sports			30/05/2022 16:49:14	FALSE	Officiel Voeuil-Et-Giget		45.592520, 0.149328	TRUE
Vouzan	Salles des fàtes			01/06/2022 22:31:41	FALSE	Officiel Vouzan		45.602521, 0.356358	TRUE
Sers		Sers	1	30/05/2022 20:19:52	TRUE			45.598656, 0.322019	TRUE
Dignac		Dignac	1	30/05/2022 20:19:59	TRUE			45.557450, 0.281469	TRUE
Cloulas		Cloulas		30/05/2022 20:19:57	TRUE			45.549447, 0.312325	TRUE
Mairie isle d'Espagnac			1	01/06/2022 23:12:58	FALSE			45.663575, 0.197613	TRUE
La Couronne		Champ de Foire / Av LibÇration		30/05/2022 08:07:09	FALSE			45.606464, 0.100333	TRUE
Angoulàme	Bd Chanzy, 16006 Angoulàme	Chanzy		26/05/2022 20:45:38	FALSE	C	3	45.6446686,0.1776752	FALSE
Angoulàme	31 Bd Besson Bey, 16000 Angoulàme	Bd Besson Bey	4	05/06/2022 19:42:08	FALSE	D	3	45.6579215,0.1607381	FALSE
Angoulàme	20 Rue de Clerac ∑ Sillac, 16000 Angoulàme	Clerac Ö Sillac	1	22/04/2022 23:34:49	FALSE	C	7	45.640261, 0.156918	FALSE
Angoulàme	10 Pl. Delivertoux, 16000 Angoulàme	Delivertoux	4	29/05/2022 16:24:50	FALSE	B	9	45.648291, 0.175102	FALSE
Angoulàme	1 Rue de la Tourgarnier, 16000 Angoulàme	Colonne Bussate	8	29/05/2022 16:37:44	FALSE	B	8	45.647687, 0.166739	FALSE
Soyaux	597 Rue Georges Courteline, 16800 Soyaux	Courteline	3	26/05/2022 18:52:18	FALSE	B	10	45.650216, 0.184342	FALSE
Angoulàme	15 Rpe d'Aguesseau, 16000 Angoulàme	Espace Franquin	8	26/05/2022 21:05:44	FALSE	D	9	45.649534, 0.159657	FALSE
Angoulàme	1 Rue Raymond PoincarÇ, 16000 Angoulàme	Hìtel de Police	8	26/05/2022 20:52:22	FALSE	B	7	45.649761, 0.162807	FALSE
Angoulàme	20 Pl. Mulac, 16000 Angoulàme	Place Mulac	8	05/06/2022 18:33:02	FALSE	D	6	45.6573651,0.1487417	FALSE
Angoulàme	43 Rue Jean Maintenon, 16000 Angoulàme	Maintenon	8	05/06/2022 18:49:47	FALSE	D	7	45.651394, 0.138920	FALSE
